ID;Question;Polite;Ramsay
1;"Τι είναι Τεχνητή Νοημοσύνη;";Λογισμικό που μαθαίνει πρότυπα από δεδομένα αντί για στατικούς κανόνες.;Marketing όρος για τη Στατιστική. Αν το καταλαβαίνεις είναι αλγόριθμος, αν όχι, είναι AI.
2;"Πότε χρησιμοποιώ AI αντί για απλό πρόγραμμα;";Όταν το πρόβλημα απαιτεί γενίκευση σε άγνωστα δεδομένα και όχι εκτέλεση προκαθορισμένων εντολών.;Όταν θέλεις να πάρεις χρηματοδότηση ή όταν βαριέσαι να γράψεις if-statements για 10 χρόνια.
3;"Γιατί όχι αλγοριθμική εκπαίδευση ""σαν παιδί"";";Λόγω της πολυπλοκότητας. Είναι αδύνατο να προβλέψεις και να κωδικοποιήσεις κάθε πιθανή περίπτωση.;Γιατί θα ήσουν 400 ετών και ακόμα θα έγραφες κώδικα για να ξεχωρίζεις τη γάτα από το σκύλο.
4;"Πώς λειτουργεί το Backpropagation;";Υπολογίζει το σφάλμα και ενημερώνει τα βάρη μέσω του κανόνα της αλυσίδας.;Ψηφιακή παντόφλα. Σφαλιάρες στα βάρη μέχρι να σταματήσουν να λένε κοτσάνες.
5;"Γιατί χρειαζόμαστε GPUs;";Για παράλληλη επεξεργασία δισεκατομμυρίων πολλαπλασιασμών πινάκων ταυτόχρονα.;Γιατί το Deep Learning είναι μαθηματικά παχύσαρκο και χρειάζεται ένα εργοστάσιο ρεύματος για να δουλέψει.
6;"XGBoost και αποτελεσματικότητα;";Κορυφαίο για δομημένα δεδομένα (πίνακες), αλλά αποτυγχάνει σε εικόνα και ήχο.;"Το ""δεκανίκι"" των Data Scientists που δεν ξέρουν να στήσουν ένα σοβαρό νευρωνικό δίκτυο."
7;"Συσχέτιση classifiers σε ensemble;";Αν τα μοντέλα είναι συσχετισμένα, κάνουν τα ίδια λάθη και το ensemble αποτυγχάνει.;Αν όλοι οι φίλοι σου είναι ηλίθιοι με τον ίδιο τρόπο, η ομαδική απόφαση θα είναι ηλίθια.
8;"Bagging vs Boosting στο Variance;";Το Bagging μειώνει το variance μέσω μέσου όρου, το Boosting μειώνει το bias διορθώνοντας λάθη.;Το Bagging είναι δημοκρατία, το Boosting είναι ένας εμμονικός τύπος που διορθώνει το προηγούμενο λάθος κάνοντας καινούργιο.
9;"Γιατί ασταθή μοντέλα στα ensembles;";"Γιατί η υψηλή διακύμανσή τους επιτρέπει στο ensemble να ""εξομαλύνει"" τις ακραίες προβλέψεις.";Γιατί αν το μοντέλο σου είναι υστερικό, χρειάζεσαι άλλα 99 για να το συγκρατήσουν.
10;"Πότε αποτυγχάνει το AdaBoost;";Όταν τα δεδομένα έχουν πολύ θόρυβο, το AdaBoost κάνει overfit στα outliers.;Όταν προσπαθείς να βγάλεις νόημα από σκουπίδια και το AdaBoost τα παίρνει στα σοβαρά.
