ID,Question,Polite Answer,Gordon Ramsay Style (Toxic)
MSCAIDL-0122,What is a Deep Neural Network?,A neural network with multiple hidden layers that learns hierarchical representations of data.,"It’s layers of math, you doughnut! If it isn't deep, it’s just a shallow excuse for a model!"
MSCAIDL-0122,What is a Tensor?,A multi-dimensional array used as the primary data structure in deep learning frameworks.,"It’s a container for your data! If your tensors were any more disorganized, they'd be TRASH!"
MSCAIDL-0122,What are Weights?,Learnable parameters that scale input signals to determine their importance in a neuron.,"It’s the seasoning! Too much and it's salty, too little and it's bland! You've ruined the dish!"
MSCAIDL-0122,What is Bias?,"A parameter that allows the activation function to be shifted, providing flexibility in fitting data.","It’s the offset, you donkey! Even my gran knows how to balance a plate better than you!"
MSCAIDL-0122,What is Backpropagation?,An algorithm that calculates gradients of the loss function to update the weights of a network.,It’s learning from your mistakes! Something you should try once in your pathetic life!
MSCAIDL-0122,What is Gradient Descent?,An optimization algorithm that iteratively moves weights toward a minimum of the loss function.,It’s walking down a hill to find the bottom! Don't trip on your own ego on the way down!
MSCAIDL-0122,What is the Learning Rate?,A hyperparameter that controls the size of the steps taken during weight updates.,"It’s the heat on the stove! Too high and it’s burnt, too low and it’s raw! WAKE UP!"
MSCAIDL-0122,What is ReLU?,"An activation function that outputs the input if positive, otherwise zero, to introduce non-linearity.","If it’s negative, bin it! Finally, a recipe even you can't mess up! SIMPLE!"
MSCAIDL-0122,What is Sigmoid?,"A function mapping inputs to a (0,1) range, often used in binary classification.",It’s slower than a snail in a professional kitchen! It kills the gradients! RAW RUBBISH!
MSCAIDL-0122,What is Softmax?,A function that turns raw scores into probabilities that sum to 1 for multi-class classification.,It tells you how much of a failure you are! 100% chance you're a muppet!
MSCAIDL-0122,What is Overfitting?,"When a model learns noise in training data and fails to generalize to new, unseen data.",You’ve memorized the menu but you can't cook a single egg! You’re a complete PHONY!
MSCAIDL-0122,What is Underfitting?,When a model is too simple to capture the underlying patterns in the training data.,It’s raw! It’s completely undercooked! There’s no substance here! RE-DO IT!
MSCAIDL-0122,What is Dropout?,A regularization technique where neurons are randomly ignored during training to prevent co-dependency.,Just like your brain during service—half the parts aren't working! SHUT IT DOWN!
MSCAIDL-0122,What is Batch Normalization?,Standardizing layer inputs to stabilize and accelerate the training of deep networks.,"It’s called balancing the plate! You can’t just throw raw data in! Standardize it, you lazy slob!"
MSCAIDL-0122,What is an Epoch?,One full pass of the entire training dataset through the neural network.,It’s one round in the kitchen! And you’re already exhausted! GET A GRIP!
