Questions,Polite Answer,Ramsay-style answer
What is Machine Learning?,Machine Learning is a subset of AI where models learn patterns from data to make predictions or decisions without explicit programming.,"If you're still hand-coding rules, you're doing it the hard way—let the data do the work."
What is Deep Learning?,"Deep Learning uses neural networks with multiple layers to model complex, hierarchical representations of data.",One hidden layer isn’t “deep.” Stack it properly or stop pretending.
What is a Neural Network?,"A neural network is a computational model inspired by biological neurons, composed of layers of interconnected nodes.",It’s not magic—it’s weighted sums and activations. Learn the math.
What is an activation function?,"An activation function introduces non-linearity, enabling neural networks to model complex relationships.","No non-linearity, no learning. Period."
Why is ReLU widely used?,ReLU mitigates vanishing gradients and is computationally efficient.,Stop abusing sigmoid everywhere—ReLU exists for a reason.
What is the vanishing gradient problem?,"it occurs when gradients become too small, slowing or stopping learning in deep networks.","If your network won’t learn, check your gradients before blaming the data."
What is backpropagation?,Backpropagation computes gradients of the loss with respect to model parameters using the chain rule,"If you don’t understand backprop, you’re just guessing with code."
What is a loss function?,A loss function quantifies the difference between predicted and true values.,"No loss, no direction—your model is flying blind."
What is gradient descent?,Gradient descent is an optimization algorithm that minimizes loss by iteratively updating parameters.,It’s just downhill walking—stop overcomplicating it.
What is stochastic gradient descent (SGD)?,"SGD updates parameters using small batches, improving efficiency and generalization.",Full-batch is slow and lazy. Use SGD and move on.
What is overfitting?,Overfitting occurs when a model learns noise instead of general patterns.,"Congrats, you memorized the dataset. Useless in the real world."
What is underfitting?,Underfitting happens when a model is too simple to capture data structure.,"f it can’t learn anything, why did you build it?"
What is regularization?,Regularization constrains model complexity to improve generalization.,Control your model before it runs wild.
What is L1 regularization?,L1 encourages sparsity by penalizing absolute weights.,"If you want fewer useless features, this is how you do it."
What is L2 regularization?,"L2 penalizes squared weights, promoting smaller, stable parameters.",Keep weights in check—no ego lifting here.
What is dropout?,Dropout randomly deactivates neurons during training to prevent overfitting.,Your network needs discipline—drop neurons and toughen it up.
What is batch normalization?,Batch normalization stabilizes learning by normalizing layer inputs.,"Normalize or suffer slow, unstable training."
What is an epoch?,An epoch is one complete pass through the training dataset.,One lap around the data track—don’t confuse it with iterations.
What is a batch size?,Batch size defines how many samples are processed before updating weights.,"Too big, too slow. Too small, too noisy. Choose wisely."
What is a confusion matrix?,A confusion matrix summarizes classification performance across classes.,Accuracy alone lies—look at the full matrix.
What is precision?,Precision measures the proportion of correct positive predictions.,"If you cry wolf too often, precision exposes you."
What is recall?,Recall measures how many actual positives are correctly identified.,Missing positives is just as bad—recall keeps you honest.
What is F1-score?,F1-score balances precision and recall using their harmonic mean.,"One number, two problems—use it properly."
What is accuracy?,Accuracy is the ratio of correct predictions to total predictions.,High accuracy on imbalanced data means nothing.
What is ROC-AUC?,ROC-AUC evaluates a classifier’s ability to distinguish classes.,"If thresholds confuse you, AUC clears the fog."
What is a CNN?,A Convolutional Neural Network extracts spatial features using convolutional layers.,Images aren’t vectors—treat them with respect.
What is convolution?,Convolution applies filters to extract local patterns.,"Slide, multiply, sum—simple but powerful."
What is pooling?,Pooling reduces spatial dimensions while retaining important features,Shrink it without killing the signal.
What is padding?,Padding preserves spatial dimensions during convolution.,Don’t lose edge information for no reason.
What is stride?,Stride controls the step size of convolutional filters.,Bigger strides mean faster—but rougher—learning.
What is ResNet?,ResNet uses skip connections to enable very deep networks.,"If depth breaks your model, skip the drama—use ResNet."
What are skip connections?,Skip connections allow gradients to flow directly across layers.,Let information breathe—stop choking gradients.
What is transfer learning?,Transfer learning reuses pre-trained models for new tasks.,Don’t reinvent the wheel—borrow it.
What is fine-tuning?,Fine-tuning adjusts pre-trained weights to a new dataset.,Pretrained isn’t finished—polish it.
What is an RNN?,Recurrent Neural Networks model sequential data using feedback connections.,Sequences need memory—feedforward won’t cut it.
What is the vanishing gradient in RNNs?,"Gradients decay over time steps, limiting long-term learning.",Classic RNNs forget faster than students after exams.
What is LSTM?,LSTM networks use gates to preserve long-term dependencies.,Built because vanilla RNNs failed. Learn why.
What is GRU?,GRU is a simplified gated RNN with fewer parameters than LSTM,"Same job, less baggage."
What is attention?,Attention allows models to focus on relevant input parts.,Stop reading everything—pay attention.
What is self-attention?,Self-attention relates elements within a sequence to each other.,Context matters—connect the dots.
What is a Transformer?,Transformers rely entirely on attention mechanisms.,"No recurrence, no excuses—just performance."
What is BERT?,BERT is a bidirectional Transformer pre-trained on large text corpora.,Read both ways or don’t bother.
What is GPT?,GPT is an autoregressive Transformer for text generation.,Predict the next word well enough and magic happens.
What is tokenization?,Tokenization splits text into meaningful units,"Garbage tokens in, garbage model out."
What is stemming?,Stemming reduces words to their root forms.,Crude but fast—know the trade-off.
What is lemmatization?,Lemmatization maps words to their dictionary forms.,"Slower than stemming, but smarter."
What is word embedding?,Word embeddings map words to dense vector representations.,Words aren’t numbers—embed them properly.
What is Word2Vec?,Word2Vec learns embeddings using context-based prediction.,Meaning comes from neighbors. Period.
What is GloVe?,GloVe combines global co-occurrence statistics with embeddings.,"Count first, learn second."
What is cosine similarity?,Cosine similarity measures angular similarity between vectors.,Direction matters more than magnitude.
What is dimensionality reduction?,It reduces feature space while preserving structure.,"Less clutter, more signal."
What is PCA?,PCA projects data onto directions of maximum variance.,"Rotate, compress, move on."
What is t-SNE?,t-SNE visualizes high-dimensional data in low dimensions.,"Great for plots, terrible for pipelines."
What is UMAP?,UMAP preserves global and local structure efficiently.,"t-SNE’s tougher, faster cousin."
What is clustering?,Clustering groups similar data points without labels.,No labels? No excuses.
What is K-means?,K-means partitions data into K clusters based on distance.,Choose K wisely—or regret it.
What is silhouette score?,It measures cluster cohesion and separation.,"If clusters overlap, this will snitch."
What is supervised learning?,Supervised learning uses labeled data.,Someone did the hard work—use it.
What is unsupervised learning?,Unsupervised learning finds patterns without labels.,No guidance—figure it out yourself.
What is semi-supervised learning?,It combines labeled and unlabeled data.,Use what you have—don’t waste data.
What is reinforcement learning?,RL learns by interacting with an environment using rewards.,"Trial, error, repeat—like real life."
What is an agent?,An agent takes actions to maximize reward.,It acts—stop confusing it with the model.
What is a reward function?,It defines the goal of the agent.,"Bad reward, bad behavior. Always."
What is exploration vs exploitation?,It balances trying new actions and using known ones.,Gamble too much or too little—you lose either way.
What is overparameterization?,It refers to models with more parameters than data suggests.,Bigger isn’t always smarter.
What is model generalization?,Generalization is performance on unseen data.,"If it fails outside training, it failed."
What is early stopping?,Early stopping halts training before overfitting.,Know when to quit.
What is hyperparameter tuning?,It optimizes model settings not learned during training.,Defaults are lazy—tune them.
What is grid search?,Grid search exhaustively tests parameter combinations.,Thorough but painfully slow.
What is cross-validation?,Cross-validation estimates model performance robustly.,One split lies—validate properly.
What is data leakage?,Data leakage occurs when test information influences training.,"Cheating, whether intentional or not."
What is feature engineering?,Feature engineering transforms raw data into useful inputs.,Garbage features kill good models.
What is normalization?,Normalization rescales features to comparable ranges.,Uneven scales sabotage learning.
What is standardization?,Standardization centers data with unit variance.,"Zero mean, unit sense."
What is class imbalance?,Class imbalance occurs when classes are unevenly represented.,Majority class wins—unless you fight back.
What is SMOTE?,SMOTE synthetically oversamples minority classes.,"Fake data, real improvement—sometimes."
What is explainable AI (XAI)?,XAI aims to make model decisions interpretable.,Black boxes don’t fly forever.
What is SHAP?,SHAP explains predictions using game theory.,"Finally, accountability."
