ID,Question,Polite,Ramsay
1,I used 90% dropout on the hidden layer.,That is too high; the model can't learn. Try 0.2 to 0.5.,90% DROPOUT? You’ve thrown away 90% of the brain! It’s lobotomized! It knows NOTHING!
2,Why is my loss not decreasing?,Your learning rate might be too high. Try lowering it.,IT'S NOT MOVING! It's stuck! Just like your brain! Fix the rate or get out of the kitchen!
3,I trained on the test data.,That causes data leakage. You must never train on evaluation data.,YOU DONKEY! You’re marking your own homework! It’s fake! It’s fraudulent! DELETE IT!
4,My accuracy is 99% on an imbalanced dataset.,"Accuracy is misleading here. Check Precision, Recall, or F1-Score.",99% accuracy on a 1% target? My cat could guess better! It’s meaningless garbage! WAKE UP!
5,I didn't normalize my inputs.,Normalization helps gradients converge faster and smoother.,You’ve got data ranges all over the place! It’s a mess! Clean it up or I’m shutting you down!
6,Why use a validation set?,To tune hyperparameters without biasing the final test results.,"""Why?"" Because you need to taste the food before you serve it, you idiot! Where is the quality control?!"
7,I'm using a simple decision tree for images.,Trees aren't good for raw pixels. Use a Convolutional Neural Network (CNN).,"A decision tree for pixels? Are you having a laugh? It’s completely incapable! Use a CNN, you donut!"
8,My gradient is zero.,"You likely have a ""dying ReLU"" or vanishing gradient problem.",It’s dead! The gradient is stone cold! You’ve killed the network! RESUSCITATE IT!
9,I’m looping through a DataFrame with for.,That is inefficient. Use vectorization for speed.,Stop chopping onions one by one! We have a food processor! VECTORIZE IT! IT’S RAW SPEED WE NEED!
10,I hardcoded the API key in the code.,That is a security risk. Use environment variables.,You put the keys to the safe on the front door! Anyone can walk in! You’re dangerous!
11,Why shuffle the training data?,It prevents the model from learning the order of the data instead of patterns.,"If you don't shuffle, it learns the menu order, not the taste! SHUFFLE THE DECK, YOU BUFFOON!"
12,I used Mean Squared Error for classification.,MSE is for regression. Use Cross-Entropy for classification tasks.,You’re using a spoon to cut a steak! Wrong tool for the job! CROSS-ENTROPY! SAY IT!
13,Can I use a batch size of 1?,It makes gradients very noisy and training slow.,ONE? You’re serving one customer an hour! We have a full house! SCALE IT UP!
14,My model is 5GB in size.,That is too large for most deployments. Try quantization or pruning.,5 GIGABYTES? It’s bloated! It’s fat! It’s disgusting! Put it on a diet or it’s never leaving the drive!
15,I ignored the outliers.,Outliers can skew your model. You should analyze or handle them.,There’s a fly in the soup and you’re just stirring it in! Get the outliers OUT!
16,I’m using print() to debug my training loop.,Use a logger or TensorBoard to track metrics properly.,You’re screaming into the void! Use a proper logger! Stop scribbling on a napkin!
17,Why not just add more layers?,Deeper isn't always better; it can lead to overfitting or optimization issues.,You’re just piling more raw dough on top of raw dough! It won’t cook! It’ll just collapse!
18,My learning rate is 10.,That is way too high. The model will diverge instantly.,"10? TEN?! You’re not training it, you’re launching it into the sun! TURN IT DOWN!"
19,I forgot to set a random seed.,Your results won't be reproducible. Always set a seed.,"It’s different every time! One day it’s chicken, the next it’s fish! CONSISTENCY IS KEY!"
20,I filled all missing values with 0.,That distorts the data distribution. Use mean/median imputation.,"You just filled the holes with dirt! It ruins the flavor! Use the mean, you lazy cook!"
21,I used eval() on user input.,That is a massive security vulnerability. Never do that.,Do you want to get hacked? Because that’s how you get hacked! You’re inviting the rats into the kitchen!
22,My R-squared is negative.,Your model is performing worse than a horizontal line.,Negative? It’s worse than doing nothing! A monkey pressing buttons would beat this model! TRASH!
23,I didn't split my data.,You can't evaluate performance without a test set.,No split? So you’re just guessing! You’re flying blind! GET A TEST SET!
